OPR_DT,Hour,Trading Hub,Renewable Type,Generation,Market
2017-10-08,1,SP15,Solar,0.0,DAM
2017-10-08,2,SP15,Solar,0.0,DAM
2017-10-08,3,SP15,Solar,0.0,DAM
2017-10-08,4,SP15,Solar,0.0,DAM
2017-10-08,5,SP15,Solar,0.0,DAM
2017-10-08,6,SP15,Solar,0.0,DAM
2017-10-08,7,SP15,Solar,20.06,DAM
2017-10-08,8,SP15,Solar,1186.39,DAM
2017-10-08,9,SP15,Solar,4387.39,DAM
2017-10-08,10,SP15,Solar,5989.71,DAM
2017-10-08,11,SP15,Solar,6542.2,DAM
2017-10-08,12,SP15,Solar,6652.03,DAM
2017-10-08,13,SP15,Solar,6589.28,DAM
2017-10-08,14,SP15,Solar,6636.7,DAM
2017-10-08,15,SP15,Solar,6539.8,DAM
2017-10-08,16,SP15,Solar,6090.59,DAM
2017-10-08,17,SP15,Solar,4879.66,DAM
2017-10-08,18,SP15,Solar,1816.25,DAM
2017-10-08,19,SP15,Solar,97.01,DAM
2017-10-08,20,SP15,Solar,0.0,DAM
2017-10-08,21,SP15,Solar,0.0,DAM
2017-10-08,22,SP15,Solar,0.0,DAM
2017-10-08,23,SP15,Solar,0.0,DAM
2017-10-08,24,SP15,Solar,0.0,DAM
2017-10-09,1,SP15,Solar,0.0,DAM
2017-10-09,2,SP15,Solar,0.0,DAM
2017-10-09,3,SP15,Solar,0.0,DAM
2017-10-09,4,SP15,Solar,0.0,DAM
2017-10-09,5,SP15,Solar,0.0,DAM
2017-10-09,6,SP15,Solar,0.0,DAM
2017-10-09,7,SP15,Solar,20.03,DAM
2017-10-09,8,SP15,Solar,1145.46,DAM
2017-10-09,9,SP15,Solar,4316.52,DAM
2017-10-09,10,SP15,Solar,5972.38,DAM
2017-10-09,11,SP15,Solar,6541.08,DAM
2017-10-09,12,SP15,Solar,6644.03,DAM
2017-10-09,13,SP15,Solar,6593.15,DAM
2017-10-09,14,SP15,Solar,6619.92,DAM
2017-10-09,15,SP15,Solar,6511.73,DAM
2017-10-09,16,SP15,Solar,6065.96,DAM
2017-10-09,17,SP15,Solar,4817.64,DAM
2017-10-09,18,SP15,Solar,1715.04,DAM
2017-10-09,19,SP15,Solar,78.47,DAM
2017-10-09,20,SP15,Solar,0.0,DAM
2017-10-09,21,SP15,Solar,0.0,DAM
2017-10-09,22,SP15,Solar,0.0,DAM
2017-10-09,23,SP15,Solar,0.0,DAM
2017-10-09,24,SP15,Solar,0.0,DAM
2017-10-10,1,SP15,Solar,0.0,DAM
2017-10-10,2,SP15,Solar,0.0,DAM
2017-10-10,3,SP15,Solar,0.0,DAM
2017-10-10,4,SP15,Solar,0.0,DAM
2017-10-10,5,SP15,Solar,0.0,DAM
2017-10-10,6,SP15,Solar,0.0,DAM
2017-10-10,7,SP15,Solar,14.51,DAM
2017-10-10,8,SP15,Solar,1083.63,DAM
2017-10-10,9,SP15,Solar,4214.53,DAM
2017-10-10,10,SP15,Solar,5913.23,DAM
2017-10-10,11,SP15,Solar,6515.03,DAM
2017-10-10,12,SP15,Solar,6618.15,DAM
2017-10-10,13,SP15,Solar,6573.73,DAM
2017-10-10,14,SP15,Solar,6586.72,DAM
2017-10-10,15,SP15,Solar,6452.83,DAM
2017-10-10,16,SP15,Solar,5954.62,DAM
2017-10-10,17,SP15,Solar,4701.9,DAM
2017-10-10,18,SP15,Solar,1609.66,DAM
2017-10-10,19,SP15,Solar,76.18,DAM
2017-10-10,20,SP15,Solar,0.0,DAM
2017-10-10,21,SP15,Solar,0.0,DAM
2017-10-10,22,SP15,Solar,0.0,DAM
2017-10-10,23,SP15,Solar,0.0,DAM
2017-10-10,24,SP15,Solar,0.0,DAM
2017-10-11,1,SP15,Solar,0.0,DAM
2017-10-11,2,SP15,Solar,0.0,DAM
2017-10-11,3,SP15,Solar,0.0,DAM
2017-10-11,4,SP15,Solar,0.0,DAM
2017-10-11,5,SP15,Solar,0.0,DAM
2017-10-11,6,SP15,Solar,0.0,DAM
2017-10-11,7,SP15,Solar,7.93,DAM
2017-10-11,8,SP15,Solar,1006.07,DAM
2017-10-11,9,SP15,Solar,3983.36,DAM
2017-10-11,10,SP15,Solar,5718.08,DAM
2017-10-11,11,SP15,Solar,6351.44,DAM
2017-10-11,12,SP15,Solar,6460.04,DAM
2017-10-11,13,SP15,Solar,6426.27,DAM
2017-10-11,14,SP15,Solar,6419.29,DAM
2017-10-11,15,SP15,Solar,6290.38,DAM
2017-10-11,16,SP15,Solar,5829.97,DAM
2017-10-11,17,SP15,Solar,4591.52,DAM
2017-10-11,18,SP15,Solar,1524.57,DAM
2017-10-11,19,SP15,Solar,65.66,DAM
2017-10-11,20,SP15,Solar,0.0,DAM
2017-10-11,21,SP15,Solar,0.0,DAM
2017-10-11,22,SP15,Solar,0.0,DAM
2017-10-11,23,SP15,Solar,0.0,DAM
2017-10-11,24,SP15,Solar,0.0,DAM
2017-10-12,1,SP15,Solar,0.0,DAM
2017-10-12,2,SP15,Solar,0.0,DAM
2017-10-12,3,SP15,Solar,0.0,DAM
2017-10-12,4,SP15,Solar,0.0,DAM
2017-10-12,5,SP15,Solar,0.0,DAM
2017-10-12,6,SP15,Solar,0.0,DAM
2017-10-12,7,SP15,Solar,5.95,DAM
2017-10-12,8,SP15,Solar,987.35,DAM
2017-10-12,9,SP15,Solar,4078.39,DAM
2017-10-12,10,SP15,Solar,5826.12,DAM
2017-10-12,11,SP15,Solar,6461.13,DAM
2017-10-12,12,SP15,Solar,6552.35,DAM
2017-10-12,13,SP15,Solar,6509.03,DAM
2017-10-12,14,SP15,Solar,6551.36,DAM
2017-10-12,15,SP15,Solar,6444.95,DAM
2017-10-12,16,SP15,Solar,5970.55,DAM
2017-10-12,17,SP15,Solar,4673.02,DAM
2017-10-12,18,SP15,Solar,1527.69,DAM
2017-10-12,19,SP15,Solar,57.5,DAM
2017-10-12,20,SP15,Solar,0.0,DAM
2017-10-12,21,SP15,Solar,0.0,DAM
2017-10-12,22,SP15,Solar,0.0,DAM
2017-10-12,23,SP15,Solar,0.0,DAM
2017-10-12,24,SP15,Solar,0.0,DAM
2017-10-13,1,SP15,Solar,0.0,DAM
2017-10-13,2,SP15,Solar,0.0,DAM
2017-10-13,3,SP15,Solar,0.0,DAM
2017-10-13,4,SP15,Solar,0.0,DAM
2017-10-13,5,SP15,Solar,0.0,DAM
2017-10-13,6,SP15,Solar,0.0,DAM
2017-10-13,7,SP15,Solar,5.13,DAM
2017-10-13,8,SP15,Solar,968.22,DAM
2017-10-13,9,SP15,Solar,4072.52,DAM
2017-10-13,10,SP15,Solar,5833.53,DAM
2017-10-13,11,SP15,Solar,6449.78,DAM
2017-10-13,12,SP15,Solar,6545.25,DAM
2017-10-13,13,SP15,Solar,6511.31,DAM
2017-10-13,14,SP15,Solar,6546.74,DAM
2017-10-13,15,SP15,Solar,6423.89,DAM
2017-10-13,16,SP15,Solar,5933.84,DAM
2017-10-13,17,SP15,Solar,4593.3,DAM
2017-10-13,18,SP15,Solar,1462.04,DAM
2017-10-13,19,SP15,Solar,63.16,DAM
2017-10-13,20,SP15,Solar,0.0,DAM
2017-10-13,21,SP15,Solar,0.0,DAM
2017-10-13,22,SP15,Solar,0.0,DAM
2017-10-13,23,SP15,Solar,0.0,DAM
2017-10-13,24,SP15,Solar,0.0,DAM
2017-10-14,1,SP15,Solar,0.0,DAM
2017-10-14,2,SP15,Solar,0.0,DAM
2017-10-14,3,SP15,Solar,0.0,DAM
2017-10-14,4,SP15,Solar,0.0,DAM
2017-10-14,5,SP15,Solar,0.0,DAM
2017-10-14,6,SP15,Solar,0.0,DAM
2017-10-14,7,SP15,Solar,4.28,DAM
2017-10-14,8,SP15,Solar,976.32,DAM
2017-10-14,9,SP15,Solar,4060.16,DAM
2017-10-14,10,SP15,Solar,5851.27,DAM
2017-10-14,11,SP15,Solar,6465.4,DAM
2017-10-14,12,SP15,Solar,6546.72,DAM
2017-10-14,13,SP15,Solar,6531.6,DAM
2017-10-14,14,SP15,Solar,6558.24,DAM
2017-10-14,15,SP15,Solar,6435.01,DAM
2017-10-14,16,SP15,Solar,5957.63,DAM
2017-10-14,17,SP15,Solar,4607.79,DAM
2017-10-14,18,SP15,Solar,1436.88,DAM
2017-10-14,19,SP15,Solar,52.52,DAM
2017-10-14,20,SP15,Solar,0.0,DAM
2017-10-14,21,SP15,Solar,0.0,DAM
2017-10-14,22,SP15,Solar,0.0,DAM
2017-10-14,23,SP15,Solar,0.0,DAM
2017-10-14,24,SP15,Solar,0.0,DAM
2017-10-15,1,SP15,Solar,0.0,DAM
2017-10-15,2,SP15,Solar,0.0,DAM
2017-10-15,3,SP15,Solar,0.0,DAM
2017-10-15,4,SP15,Solar,0.0,DAM
2017-10-15,5,SP15,Solar,0.0,DAM
2017-10-15,6,SP15,Solar,0.0,DAM
2017-10-15,7,SP15,Solar,4.78,DAM
2017-10-15,8,SP15,Solar,966.83,DAM
2017-10-15,9,SP15,Solar,4056.93,DAM
2017-10-15,10,SP15,Solar,5843.37,DAM
2017-10-15,11,SP15,Solar,6438.02,DAM
2017-10-15,12,SP15,Solar,6507.07,DAM
2017-10-15,13,SP15,Solar,6484.02,DAM
2017-10-15,14,SP15,Solar,6511.77,DAM
2017-10-15,15,SP15,Solar,6411.82,DAM
2017-10-15,16,SP15,Solar,5914.57,DAM
2017-10-15,17,SP15,Solar,4532.18,DAM
2017-10-15,18,SP15,Solar,1354.27,DAM
2017-10-15,19,SP15,Solar,49.29,DAM
2017-10-15,20,SP15,Solar,0.0,DAM
2017-10-15,21,SP15,Solar,0.0,DAM
2017-10-15,22,SP15,Solar,0.0,DAM
2017-10-15,23,SP15,Solar,0.0,DAM
2017-10-15,24,SP15,Solar,0.0,DAM
2017-10-16,1,SP15,Solar,0.0,DAM
2017-10-16,2,SP15,Solar,0.0,DAM
2017-10-16,3,SP15,Solar,0.0,DAM
2017-10-16,4,SP15,Solar,0.0,DAM
2017-10-16,5,SP15,Solar,0.0,DAM
2017-10-16,6,SP15,Solar,0.0,DAM
2017-10-16,7,SP15,Solar,5.26,DAM
2017-10-16,8,SP15,Solar,919.77,DAM
2017-10-16,9,SP15,Solar,3844.52,DAM
2017-10-16,10,SP15,Solar,5610.35,DAM
2017-10-16,11,SP15,Solar,6196.43,DAM
2017-10-16,12,SP15,Solar,6261.49,DAM
2017-10-16,13,SP15,Solar,6228.49,DAM
2017-10-16,14,SP15,Solar,6216.19,DAM
2017-10-16,15,SP15,Solar,6114.05,DAM
2017-10-16,16,SP15,Solar,5650.33,DAM
2017-10-16,17,SP15,Solar,4313.03,DAM
2017-10-16,18,SP15,Solar,1224.3,DAM
