,LI_chr,LI_dis,LI_soc,LI_previous
416,0,0,27.5,1
417,50,0,27.5,0
418,50,0,70,-1
419,50,0,112.5,-1
420,50,0,155,-1
421,2.941176471,0,197.5,-1
422,0,0,200,-0.058823529
423,0,0,200,0
424,0,0,200,0
425,0,50,200,0
426,0,50,150,1
427,0,50,100,1
428,0,50,50,1
429,0,0,0,1
430,0,0,0,0
431,0,0,0,0
432,0,0,0,0
433,0,0,0,0
434,50,0,0,0
435,50,0,42.5,-1
436,17.64705882,0,85,-1
437,0,0,100,-0.352941176
438,0,50,100,0
439,0,50,50,1
440,0,0,0,1
441,0,0,0,0
442,50,0,0,0
443,50,0,42.5,-1
444,50,0,85,-1
445,50,0,127.5,-1
446,35.29411765,0,170,-1
447,0,0,200,-0.705882353
448,0,0,200,0
449,0,50,200,0
450,0,50,150,1
451,0,50,100,1
452,0,50,50,1
453,0,0,0,1
454,0,0,0,0
455,0,0,0,0
456,0,0,0,0
457,50,0,0,0
458,50,0,42.5,-1
459,50,0,85,-1
460,26.47058824,0,127.5,-1
461,0,0,150,-0.529411765
462,0,50,150,0
463,0,50,100,1
464,0,50,50,1
465,0,0,0,1
466,50,0,0,0
467,35.29411765,0,42.5,-1
468,50,0,72.5,-0.705882353
469,50,0,115,-1
470,50,0,157.5,-1
471,0,0,200,-1
472,0,0,200,0
473,0,50,200,0
474,0,50,150,1
475,0,50,100,1
476,0,50,50,1
477,0,0,0,1
478,0,0,0,0
479,0,0,0,0
480,0,0,0,0
481,0,0,0,0
482,50,0,0,0
483,50,0,42.5,-1
484,17.64705882,0,85,-1
485,0,0,100,-0.352941176
486,0,50,100,0
487,0,50,50,1
488,0,0,0,1
489,0,0,0,0
490,50,0,0,0
491,50,0,42.5,-1
492,50,0,85,-1
493,50,0,127.5,-1
494,35.29411765,0,170,-1
495,0,0,200,-0.705882353
496,0,0,200,0
497,0,50,200,0
498,0,50,150,1
499,0,50,100,1
500,0,50,50,1
501,0,0,0,1
502,0,0,0,0
503,0,0,0,0
504,0,0,0,0
505,0,0,0,0
506,0,0,0,0
507,0,0,0,0
508,0,0,0,0
509,0,0,0,0
510,0,0,0,0
511,0,0,0,0
512,0,0,0,0
513,50,0,0,0
514,50,0,42.5,-1
515,50,0,85,-1
516,50,0,127.5,-1
517,35.29411765,0,170,-1
518,0,0,200,-0.705882353
519,0,0,200,0
520,0,0,200,0
521,0,50,200,0
522,0,50,150,1
523,0,50,100,1
524,0,50,50,1
525,0,0,0,1
526,0,0,0,0
527,0,0,0,0
528,0,0,0,0
529,0,0,0,0
530,50,0,0,0
531,50,0,42.5,-1
532,50,0,85,-1
533,0,27.5,127.5,-1
534,0,50,100,0.55
535,0,50,50,1
536,0,0,0,1
537,50,0,0,0
538,50,0,42.5,-1
539,50,0,85,-1
540,50,0,127.5,-1
541,35.29411765,0,170,-1
542,0,0,200,-0.705882353
543,0,0,200,0
544,0,0,200,0
545,0,50,200,0
546,0,50,150,1
547,0,50,100,1
548,0,50,50,1
549,0,0,0,1
550,0,0,0,0
551,0,0,0,0
552,0,0,0,0
553,0,0,0,0
554,50,0,0,0
555,50,0,42.5,-1
556,50,0,85,-1
557,0,0,127.5,-1
558,0,50,127.5,0
559,0,50,77.5,1
560,2.941176471,0,27.5,1
561,50,0,30,-0.058823529
562,50,0,72.5,-1
563,50,0,115,-1
564,50,0,157.5,-1
565,0,0,200,-1
566,0,0,200,0
567,0,0,200,0
568,0,0,200,0
569,0,50,200,0
570,0,50,150,1
571,0,50,100,1
572,0,50,50,1
573,0,0,0,1
574,0,0,0,0
575,0,0,0,0
576,0,0,0,0
577,2.941176471,0,0,0
578,50,0,2.5,-0.058823529
579,50,0,45,-1
580,50,0,87.5,-1
581,0,0,130,-1
582,0,50,130,0
583,0,50,80,1
584,0,0,30,1
585,50,0,30,0
586,50,0,72.5,-1
587,50,0,115,-1
588,50,0,157.5,-1
589,0,0,200,-1
590,0,0,200,0
591,0,0,200,0
592,0,50,200,0
593,0,50,150,1
594,0,50,100,1
595,0,50,50,1
596,0,0,0,1
597,0,0,0,0
598,0,0,0,0
599,0,0,0,0
600,0,0,0,0
601,0,0,0,0
602,17.64705882,0,0,0
603,50,0,15,-0.352941176
604,50,0,57.5,-1
605,0,0,100,-1
606,0,50,100,0
607,0,50,50,1
608,35.29411765,0,0,1
609,50,0,30,-0.705882353
610,50,0,72.5,-1
611,50,0,115,-1
612,50,0,157.5,-1
613,0,0,200,-1
614,0,0,200,0
615,0,0,200,0
616,0,0,200,0
617,0,50,200,0
618,0,50,150,1
619,0,50,100,1
620,0,50,50,1
621,0,0,0,1
622,0,0,0,0
623,0,0,0,0
624,0,0,0,0
625,0,0,0,0
626,50,0,0,0
627,50,0,42.5,-1
628,50,0,85,-1
629,0,0,127.5,-1
630,0,50,127.5,0
631,0,50,77.5,1
632,2.941176471,0,27.5,1
633,50,0,30,-0.058823529
634,50,0,72.5,-1
635,50,0,115,-1
636,50,0,157.5,-1
637,0,0,200,-1
638,0,0,200,0
639,0,0,200,0
640,0,0,200,0
641,0,50,200,0
642,0,50,150,1
643,0,50,100,1
644,0,50,50,1
645,0,0,0,1
646,0,0,0,0
647,0,0,0,0
648,0,0,0,0
649,0,0,0,0
650,0,0,0,0
651,0,0,0,0
652,0,0,0,0
653,0,0,0,0
654,0,0,0,0
655,0,0,0,0
656,35.29411765,0,0,0
657,50,0,30,-0.705882353
658,50,0,72.5,-1
659,50,0,115,-1
660,50,0,157.5,-1
661,0,0,200,-1
662,0,0,200,0
663,0,0,200,0
664,0,0,200,0
665,0,50,200,0
666,0,50,150,1
667,0,50,100,1
668,0,50,50,1
669,0,0,0,1
670,0,0,0,0
671,0,0,0,0
672,0,0,0,0
673,0,0,0,0
674,0,0,0,0
675,0,0,0,0
676,0,0,0,0
677,0,0,0,0
678,0,0,0,0
679,0,0,0,0
680,0,0,0,0
681,50,0,0,0
682,50,0,42.5,-1
683,50,0,85,-1
684,50,0,127.5,-1
685,35.29411765,0,170,-1
686,0,0,200,-0.705882353
687,0,0,200,0
