OUTAGE_DATE,Hour,Type,Trading Hub,Outage,Report Date
2017-10-03,14,Renewable,SP15,624.75,2017-10-02
2017-10-03,15,Renewable,SP15,624.75,2017-10-02
2017-10-03,16,Renewable,SP15,614.35,2017-10-02
2017-10-03,17,Renewable,SP15,438.35,2017-10-02
2017-10-03,18,Renewable,SP15,260.35,2017-10-02
2017-10-03,19,Renewable,SP15,320.4,2017-10-02
2017-10-03,20,Renewable,SP15,320.4,2017-10-02
2017-10-03,21,Renewable,SP15,295.4,2017-10-02
2017-10-03,22,Renewable,SP15,295.4,2017-10-02
2017-10-03,23,Renewable,SP15,245.93,2017-10-02
2017-10-03,24,Renewable,SP15,245.93,2017-10-02
2017-10-03,1,Thermal,SP15,1552.68,2017-10-02
2017-10-03,2,Thermal,SP15,2035.79,2017-10-02
2017-10-03,3,Thermal,SP15,2030.54,2017-10-02
2017-10-03,4,Thermal,SP15,2029.76,2017-10-02
2017-10-03,5,Thermal,SP15,2029.22,2017-10-02
2017-10-03,6,Thermal,SP15,1545.76,2017-10-02
2017-10-03,7,Thermal,SP15,2040.12,2017-10-02
2017-10-03,8,Thermal,SP15,2088.87,2017-10-02
2017-10-03,9,Thermal,SP15,2109.48,2017-10-02
2017-10-03,10,Thermal,SP15,2114.74,2017-10-02
2017-10-03,11,Thermal,SP15,2117.81,2017-10-02
2017-10-03,12,Thermal,SP15,2128.28,2017-10-02
2017-10-03,13,Thermal,SP15,2135.08,2017-10-02
2017-10-03,14,Thermal,SP15,2137.67,2017-10-02
2017-10-03,15,Thermal,SP15,2096.44,2017-10-02
2017-10-03,16,Thermal,SP15,1599.99,2017-10-02
2017-10-03,17,Thermal,SP15,1605.07,2017-10-02
2017-10-03,18,Thermal,SP15,1601.03,2017-10-02
2017-10-03,19,Thermal,SP15,1591.93,2017-10-02
2017-10-03,20,Thermal,SP15,1582.69,2017-10-02
2017-10-03,21,Thermal,SP15,1564.66,2017-10-02
2017-10-03,22,Thermal,SP15,1563.57,2017-10-02
2017-10-03,23,Thermal,SP15,1561.52,2017-10-02
2017-10-03,24,Thermal,SP15,1559.66,2017-10-02
2017-10-04,1,Hydro,SP15,477.71,2017-10-03
2017-10-04,2,Hydro,SP15,477.71,2017-10-03
2017-10-04,3,Hydro,SP15,477.71,2017-10-03
2017-10-04,4,Hydro,SP15,477.71,2017-10-03
2017-10-04,5,Hydro,SP15,477.71,2017-10-03
2017-10-04,6,Hydro,SP15,477.71,2017-10-03
2017-10-04,7,Hydro,SP15,477.71,2017-10-03
2017-10-04,8,Hydro,SP15,477.71,2017-10-03
2017-10-04,9,Hydro,SP15,477.71,2017-10-03
2017-10-04,10,Hydro,SP15,477.71,2017-10-03
